centre,param,points,x1,x2,x3
0,x1,0,0.2571726207721703,1.2518858982625605,1.9042667009605734
0,x1,1,2.3701880714609147,1.2518858982625605,1.9042667009605734
0,x1,2,1.5566465854864497,1.2518858982625605,1.9042667009605734
0,x1,3,2.0913888950423183,1.2518858982625605,1.9042667009605734
0,x1,4,-0.024095083698404185,1.2518858982625605,1.9042667009605734
0,x1,5,2.461030842229896,1.2518858982625605,1.9042667009605734
0,x1,6,1.135939980901973,1.2518858982625605,1.9042667009605734
0,x1,7,2.758214421229248,1.2518858982625605,1.9042667009605734
0,x1,8,0.8220765204977871,1.2518858982625605,1.9042667009605734
0,x1,9,2.525369742672511,1.2518858982625605,1.9042667009605734
0,x2,0,2.9995047942827138,-0.350113268262386,1.9042667009605734
0,x2,1,2.9995047942827138,-2.8079270659947495,1.9042667009605734
0,x2,2,2.9995047942827138,2.118685240463732,1.9042667009605734
0,x2,3,2.9995047942827138,-1.9727996043773275,1.9042667009605734
0,x2,4,2.9995047942827138,1.1804649386788477,1.9042667009605734
0,x2,5,2.9995047942827138,-1.9699131178979277,1.9042667009605734
0,x2,6,2.9995047942827138,1.0237601448407259,1.9042667009605734
0,x2,7,2.9995047942827138,-2.462246227163565,1.9042667009605734
0,x2,8,2.9995047942827138,2.5127636663216175,1.9042667009605734
0,x2,9,2.9995047942827138,-0.9519433782790143,1.9042667009605734
0,x3,0,2.9995047942827138,1.2518858982625605,2.651239307791452
0,x3,1,2.9995047942827138,1.2518858982625605,2.683655266684861
0,x3,2,2.9995047942827138,1.2518858982625605,2.5825472737616413
0,x3,3,2.9995047942827138,1.2518858982625605,3.083157155457314
0,x3,4,2.9995047942827138,1.2518858982625605,2.6203173571081906
0,x3,5,2.9995047942827138,1.2518858982625605,3.1348898333055835
0,x3,6,2.9995047942827138,1.2518858982625605,2.6423755263515836
0,x3,7,2.9995047942827138,1.2518858982625605,3.0880424427819926
0,x3,8,2.9995047942827138,1.2518858982625605,2.850646584618272
0,x3,9,2.9995047942827138,1.2518858982625605,2.5735783484097507
1,x1,0,-1.9258816166557486,-1.626215903973995,-0.2021180497859616
1,x1,1,0.2747158015000415,-1.626215903973995,-0.2021180497859616
1,x1,2,1.044615966917092,-1.626215903973995,-0.2021180497859616
1,x1,3,0.9401693616281572,-1.626215903973995,-0.2021180497859616
1,x1,4,0.9004368514881835,-1.626215903973995,-0.2021180497859616
1,x1,5,0.40056672283576145,-1.626215903973995,-0.2021180497859616
1,x1,6,2.5222479059650538,-1.626215903973995,-0.2021180497859616
1,x1,7,0.3603141286127882,-1.626215903973995,-0.2021180497859616
1,x1,8,1.0456995418887565,-1.626215903973995,-0.2021180497859616
1,x1,9,-1.2392730692973304,-1.626215903973995,-0.2021180497859616
1,x2,0,-1.2066587857575497,1.3110744213413912,-0.2021180497859616
1,x2,1,-1.2066587857575497,0.25321838420240717,-0.2021180497859616
1,x2,2,-1.2066587857575497,-2.4682689344871633,-0.2021180497859616
